Year,Computadora,Internet,Tele,Cable,Telefono,Compania,Popularidad,Ganancias
2001,11.77720006,0.0,91.89707814,-10.0,40.33151479,Telcel,15.882610185499999,120.99454437
2002,15.2075733,0.0,93.59241289,0.0,45.35801442,Pegaso,18.156441042,136.07404326
2004,18.00172337,8.692414641,93.59241289,19.33039885,24.74076355,Unefon,15.705733068499999,74.22229065
2005,18.55893197,9.002205917,93.59241289,19.50841625,22.26408547,Unefon,15.077372668499999,66.79225641000001
2006,0.0,10.13240283,93.59241289,21.04556859,19.45867474,Movistar,11.876737574,58.37602422
2007,22.12308755,12.00453497,93.59241289,24.69797144,18.55963138,Telcel,15.8166016005,55.67889414
2008,25.65278224,13.50430403,93.17065266,0.0,14.47643525,Telcel,15.6668216885,43.42930575
2009,26.75701632,18.36090593,95.09187703,27.20077865,9.967356314,Telcel,16.6825801229,29.902068942
2010,29.79110016,0.0,94.66661751,26.66627743,9.248786077,AT&T,7.70574015095,27.746358231000002
2011,30.03632719,23.26568212,94.70606539,30.35304883,8.077818659,Movistar,18.96552666915,24.233455977
2012,32.19471708,25.96884565,94.94606051,32.23918345,7.260613887,AT&T,20.35484524745,21.781841661
2013,35.79285774,30.74345946,94.87688699,36.73010995,6.403895282,Telcel,22.9820217397,19.211685845999998
2014,38.29201478,34.39273866,94.87062991,38.10954496,21.59640634,Telcel,30.498913765999998,64.78921902
2015,44.91111992,39.17773854,93.52325159,43.74524269,4.170071652,AT&T,27.7850623362,12.510214955999999
